Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
12/12/1980,0.128347993,0.128905997,0.128347993,0.128347993,0.098943219,469033600,0,0
12/15/1980,0.122210003,0.122210003,0.121652,0.121652,0.093781292,175884800,0,0
12/16/1980,0.113280997,0.113280997,0.112723,0.112723,0.086897969,105728000,0,0
12/17/1980,0.115512997,0.116071001,0.115512997,0.115512997,0.089048758,86441600,0,0
12/18/1980,0.118862003,0.119419999,0.118862003,0.118862003,0.091630459,73449600,0,0
12/19/1980,0.126115993,0.126673996,0.126115993,0.126115993,0.097222611,48630400,0,0
12/22/1980,0.132254004,0.132813007,0.132254004,0.132254004,0.101954304,37363200,0,0
12/23/1980,0.137834996,0.138393,0.137834996,0.137834996,0.106256716,46950400,0,0
12/24/1980,0.145089,0.145647004,0.145089,0.145089,0.111848786,48003200,0,0
12/26/1980,0.158482,0.159040004,0.158482,0.158482,0.122173458,55574400,0,0
12/29/1980,0.160714,0.161272004,0.160714,0.160714,0.123894088,93161600,0,0
12/30/1980,0.157365993,0.157365993,0.156808004,0.156808004,0.120883018,68880000,0,0
12/31/1980,0.152902007,0.152902007,0.152344003,0.152344003,0.117441662,35750400,0,0
1/2/1981,0.154018,0.155134007,0.154018,0.154018,0.118732065,21660800,0,0
1/5/1981,0.151227996,0.151227996,0.150670007,0.150670007,0.116151236,35728000,0,0
1/6/1981,0.144530997,0.144530997,0.143972993,0.143972993,0.11098852,45158400,0,0
1/7/1981,0.138393,0.138393,0.137834996,0.137834996,0.106256716,55686400,0,0
1/8/1981,0.135602996,0.135602996,0.135045007,0.135045007,0.10410592,39827200,0,0
1/9/1981,0.142298996,0.142857,0.142298996,0.142298996,0.109698012,21504000,0,0
1/12/1981,0.142298996,0.142298996,0.141183004,0.141183004,0.108837746,23699200,0,0
1/13/1981,0.136719003,0.136719003,0.136161,0.136161,0.104966208,23049600,0,0
1/14/1981,0.136719003,0.137277007,0.136719003,0.136719003,0.105396435,14291200,0,0
1/15/1981,0.139509007,0.140625,0.139509007,0.139509007,0.107547246,14067200,0,0
1/16/1981,0.138951004,0.138951004,0.138393,0.138393,0.106686898,13395200,0,0
1/19/1981,0.146762997,0.147321001,0.146762997,0.146762997,0.113139257,41574400,0,0
1/20/1981,0.142857,0.142857,0.142298996,0.142298996,0.109698012,30083200,0,0
1/21/1981,0.145089,0.146204993,0.145089,0.145089,0.111848786,15904000,0,0
1/22/1981,0.146762997,0.147879004,0.146762997,0.146762997,0.113139257,35548800,0,0
1/23/1981,0.146762997,0.147321001,0.146204993,0.146204993,0.112709135,11222400,0,0
1/26/1981,0.144530997,0.144530997,0.143972993,0.143972993,0.11098852,24640000,0,0
1/27/1981,0.143972993,0.143972993,0.142857,0.142857,0.110128202,23699200,0,0
1/28/1981,0.138951004,0.138951004,0.138393,0.138393,0.106686898,28156800,0,0
1/29/1981,0.133928999,0.133928999,0.133370996,0.133370996,0.102815434,43904000,0,0
1/30/1981,0.127232,0.127232,0.126115993,0.126115993,0.097222611,46188800,0,0
2/2/1981,0.119419999,0.119419999,0.118862003,0.118862003,0.091630459,23766400,0,0
2/3/1981,0.123326004,0.123884,0.123326004,0.123326004,0.095071778,19152000,0,0
2/4/1981,0.127790004,0.128347993,0.127790004,0.127790004,0.098513074,27865600,0,0
2/5/1981,0.127790004,0.128905997,0.127790004,0.127790004,0.098513074,7929600,0,0
2/6/1981,0.128347993,0.128905997,0.128347993,0.128347993,0.098943219,13865600,0,0
2/9/1981,0.122768,0.122768,0.121652,0.121652,0.093781292,16755200,0,0
2/10/1981,0.121652,0.122210003,0.121652,0.121652,0.093781292,18345600,0,0
2/11/1981,0.118303999,0.118303999,0.117746003,0.117746003,0.090770163,13843200,0,0
2/12/1981,0.117187999,0.117187999,0.116628997,0.116628997,0.089909047,14560000,0,0
2/13/1981,0.114955001,0.114955001,0.113839,0.113839,0.087758273,11155200,0,0
2/17/1981,0.116628997,0.117187999,0.116628997,0.116628997,0.089909047,12275200,0,0
2/18/1981,0.121652,0.122768,0.121652,0.121652,0.093781292,19241600,0,0
2/19/1981,0.114955001,0.114955001,0.114396997,0.114396997,0.088188402,22310400,0,0
2/20/1981,0.108817004,0.108817004,0.108259,0.108259,0.083456643,24371200,0,0
2/23/1981,0.109932996,0.110491,0.109932996,0.109932996,0.084747121,14112000,0,0
2/24/1981,0.107143,0.107143,0.106027,0.106027,0.081735976,16979200,0,0
2/25/1981,0.112723,0.113280997,0.112723,0.112723,0.086897969,19488000,0,0
2/26/1981,0.114396997,0.114955001,0.114396997,0.114396997,0.088188402,10841600,0,0
2/27/1981,0.118303999,0.119419999,0.118303999,0.118303999,0.091200322,14761600,0,0
3/2/1981,0.118862003,0.119419999,0.118862003,0.118862003,0.091630459,11760000,0,0
3/3/1981,0.117746003,0.117746003,0.117187999,0.117187999,0.090339966,16172800,0,0
3/4/1981,0.116628997,0.116628997,0.116071001,0.116071001,0.08947888,13708800,0,0
3/5/1981,0.116071001,0.116071001,0.115512997,0.115512997,0.089048758,5376000,0,0
3/6/1981,0.115512997,0.115512997,0.114396997,0.114396997,0.088188402,11603200,0,0
3/9/1981,0.106027,0.106027,0.105469003,0.105469003,0.081305861,15321600,0,0
3/10/1981,0.101003997,0.101003997,0.100446001,0.100446001,0.077433616,28380800,0,0
3/11/1981,0.097655997,0.097655997,0.096539997,0.096539997,0.074422456,29859200,0,0
3/12/1981,0.100446001,0.101003997,0.100446001,0.100446001,0.077433616,59248000,0,0
3/13/1981,0.099887997,0.099887997,0.099330001,0.099330001,0.076573335,231302400,0,0
3/16/1981,0.103237003,0.104353003,0.103237003,0.103237003,0.079585195,37228800,0,0
3/17/1981,0.108259,0.109375,0.108259,0.108259,0.083456643,43747200,0,0
3/18/1981,0.114955001,0.116071001,0.114955001,0.114955001,0.088618606,36937600,0,0
3/19/1981,0.114396997,0.114396997,0.113839,0.113839,0.087758273,37811200,0,0
3/20/1981,0.114955001,0.116071001,0.114955001,0.114955001,0.088618606,14604800,0,0
3/23/1981,0.119419999,0.120536,0.119419999,0.119419999,0.092060655,22019200,0,0
3/24/1981,0.119419999,0.119419999,0.118862003,0.118862003,0.091630459,28156800,0,0
3/25/1981,0.117746003,0.117746003,0.116628997,0.116628997,0.089909047,7056000,0,0
3/26/1981,0.114955001,0.114955001,0.114396997,0.114396997,0.088188402,12275200,0,0
3/27/1981,0.111048996,0.111048996,0.110491,0.110491,0.085177295,12252800,0,0
3/30/1981,0.110491,0.111607,0.110491,0.110491,0.085177295,9900800,0,0
3/31/1981,0.110491,0.110491,0.109375,0.109375,0.084316969,15993600,0,0
4/1/1981,0.108817004,0.108817004,0.108259,0.108259,0.083456643,34070400,0,0
4/2/1981,0.117746003,0.118303999,0.117746003,0.117746003,0.090770163,31404800,0,0
4/3/1981,0.118303999,0.118862003,0.118303999,0.118303999,0.091200322,16486400,0,0
4/6/1981,0.116628997,0.116628997,0.116071001,0.116071001,0.08947888,22803200,0,0
4/7/1981,0.115512997,0.115512997,0.114955001,0.114955001,0.088618606,10684800,0,0
4/8/1981,0.120536,0.121652,0.120536,0.120536,0.092920974,21952000,0,0
4/9/1981,0.122768,0.123326004,0.122768,0.122768,0.094641633,12499200,0,0
4/10/1981,0.124442004,0.125,0.124442004,0.124442004,0.095932074,33465600,0,0
4/13/1981,0.124442004,0.125,0.124442004,0.124442004,0.095932074,16060800,0,0
4/14/1981,0.124442004,0.125,0.124442004,0.124442004,0.095932074,6652800,0,0
4/15/1981,0.118862003,0.118862003,0.118303999,0.118303999,0.091200322,34048000,0,0
4/16/1981,0.112164997,0.112164997,0.111607,0.111607,0.086037576,23878400,0,0
4/20/1981,0.114955001,0.115512997,0.114955001,0.114955001,0.088618606,35347200,0,0
4/21/1981,0.122768,0.123326004,0.122768,0.122768,0.094641633,28537600,0,0
4/22/1981,0.127232,0.127790004,0.127232,0.127232,0.098082907,18995200,0,0
4/23/1981,0.130579993,0.131137997,0.130579993,0.130579993,0.100663856,58016000,0,0
4/24/1981,0.130579993,0.130579993,0.129464,0.129464,0.099803559,35056000,0,0
4/27/1981,0.128905997,0.128905997,0.128347993,0.128347993,0.098943219,38528000,0,0
4/28/1981,0.126673996,0.126673996,0.126115993,0.126115993,0.097222611,32188800,0,0
4/29/1981,0.125,0.125,0.124442004,0.124442004,0.095932074,13641600,0,0
4/30/1981,0.126673996,0.127790004,0.126673996,0.126673996,0.097652748,12611200,0,0
